sample_id,gene_001,gene_002,gene_003,gene_004,gene_005,gene_006,gene_007,gene_008,gene_009,gene_010,gene_011,gene_012,gene_013,gene_014,gene_015,gene_016,gene_017,gene_018,gene_019,gene_020
S001,45,42,48,45,43,57,63,49,47,53,45,58,44,40,49,54,52,52,60,46
S002,49,48,46,47,45,46,51,54,44,44,48,45,54,48,47,54,49,52,47,57
S003,57,41,54,46,55,47,64,50,54,43,54,50,51,43,54,59,60,64,54,47
S004,46,42,50,47,55,51,53,50,49,53,59,50,56,45,46,37,43,50,48,63
S005,43,47,46,58,54,46,45,38,53,37,49,46,59,32,51,58,58,48,41,49
S006,44,38,54,62,44,43,53,53,55,51,40,39,42,56,47,53,45,63,51,52
S007,53,54,41,57,57,43,43,46,48,47,50,47,48,52,41,52,51,54,44,51
S008,48,39,47,54,50,39,51,65,51,58,44,60,50,52,60,61,47,50,54,46
S009,45,51,56,55,44,49,51,51,62,54,42,54,68,48,46,53,44,47,49,45
S010,52,41,64,52,38,51,48,47,48,51,31,54,52,56,44,44,56,45,50,58
S011,38,52,48,53,61,53,39,51,61,50,57,58,36,52,43,47,49,48,42,48
S012,52,57,47,51,47,41,46,50,50,47,59,51,44,51,36,41,58,47,39,43
S013,58,51,47,47,50,55,52,47,61,44,46,47,58,57,58,52,50,57,51,58
S014,43,51,56,50,46,47,51,43,38,49,57,58,48,47,55,56,55,58,44,61
S015,52,49,61,51,52,48,36,51,46,54,60,55,54,41,55,56,51,49,50,50
S016,56,52,55,47,48,52,41,45,52,62,56,37,61,44,43,46,44,47,43,52
S017,48,62,50,52,62,52,56,44,49,59,43,46,48,47,53,58,45,50,50,56
S018,46,56,61,48,45,50,47,60,55,65,48,38,55,53,61,46,47,58,56,59
S019,40,43,50,54,44,48,61,54,51,50,48,55,41,45,44,50,58,56,47,43
S020,56,58,62,52,48,41,45,42,42,49,47,54,49,38,71,39,57,50,53,55
S021,53,49,40,43,48,55,49,53,47,50,51,48,57,53,50,60,47,37,35,52
S022,48,46,55,49,59,52,61,40,57,60,55,48,44,40,48,57,44,52,45,61
S023,53,59,48,49,59,46,55,44,54,40,60,61,53,59,50,44,42,39,43,68
S024,60,57,61,51,45,38,51,47,57,45,49,48,56,42,65,56,49,49,52,47
S025,44,42,65,59,58,58,44,61,49,46,55,59,51,51,43,42,51,57,61,43
S026,52,51,42,46,49,41,54,53,55,41,51,50,47,64,51,38,47,54,66,61
S027,52,46,65,56,50,51,56,32,49,52,50,46,55,49,42,53,51,38,44,43
S028,48,53,56,51,52,48,52,45,47,58,56,52,47,48,49,48,52,39,46,59
S029,52,48,44,49,49,41,44,47,47,56,49,51,40,44,38,52,48,54,52,50
S030,51,41,64,42,55,45,56,52,58,52,42,46,39,40,49,60,59,46,46,52
S031,47,52,49,52,53,50,62,40,50,49,51,55,57,61,47,50,42,50,63,52
S032,55,50,43,57,62,47,40,53,52,53,47,56,45,55,54,56,48,44,49,42
S033,44,53,53,41,52,49,55,47,52,61,45,52,47,52,58,37,45,54,49,35
S034,49,52,68,56,48,57,49,56,54,45,59,50,36,44,47,44,58,42,51,48
S035,48,53,51,41,57,51,51,46,58,53,49,44,56,52,59,58,47,51,43,56
S036,46,42,56,42,52,44,44,53,55,48,47,50,48,44,48,52,43,46,53,36
S037,47,53,45,41,44,57,59,67,39,37,63,56,50,49,60,60,34,55,57,48
S038,47,51,37,38,61,53,45,49,46,49,50,50,42,40,39,51,42,63,50,46
S039,45,53,51,35,56,51,40,39,50,47,56,52,41,52,49,51,45,60,46,57
S040,54,51,58,58,55,54,58,50,48,56,41,42,48,50,39,54,50,52,46,41
